"Campaign Name",Ends,"Campaign ID",Impressions,"Link Clicks","Post Shares","Post Comments","Post Engagement","Post Reactions",Starts,"Reporting Starts","Reporting Ends","Amount Spent (USD)"
"Post: ""Hydrogen cyanide is found in rat poison. It’s...""",2017-07-19,6076520279839,1491,3,25,10,151,66,2017-07-17,2017-04-19,2017-07-19,8.27
"Post: ""Nicotine is highly addictive. Every day in the US...""",2017-07-19,6076509762239,1108,1,7,1,98,75,2017-07-17,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-19,6076509737239,653,12,,1,78,65,2017-07-17,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-19,6076507105239,1276,6,,,78,72,2017-07-17,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-18,6076475739639,1879,,,1,45,44,2017-07-16,2017-04-19,2017-07-19,8
"Post: ""#Smoking can shorten your life by over 12%. If...""",2017-07-18,6076473364039,934,1,13,3,92,56,2017-07-16,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can shorten your life by 10 years. If...""",2017-07-18,6076471841439,466,,8,,45,32,2017-07-16,2017-04-19,2017-07-19,8.28
"Post: ""Even if we don’t smoke, we could be breathing in...""",2017-07-18,6076465733039,1026,,5,4,73,50,2017-07-16,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-18,6076465628039,574,2,,,57,55,2017-07-16,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-18,6076464092439,1090,6,,1,84,77,2017-07-16,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-17,6076446332839,1049,5,,,19,14,2017-07-15,2017-04-19,2017-07-19,8
"Post: ""There is no safe level of exposure to secondhand...""",2017-07-17,6076441985039,1137,3,10,7,97,52,2017-07-15,2017-04-19,2017-07-19,8.28
"Post: ""You can never buy back time, so keep it...""",2017-07-17,6076437039839,602,,4,1,65,52,2017-07-15,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-17,6076437005439,930,5,,,70,65,2017-07-15,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-17,6076434445639,878,2,,,84,82,2017-07-15,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-16,6076409395039,794,5,,,81,76,2017-07-14,2017-04-19,2017-07-19,8
"Post: ""Over 16 million Americans have a disease caused...""",2017-07-17,6076405602839,1041,3,10,3,88,54,2017-07-14,2017-04-19,2017-07-19,8.28
"Post: ""About 40% of US non-smokers are exposed to toxic...""",2017-07-16,6076401954639,839,,11,,85,60,2017-07-14,2017-04-19,2017-07-19,8.28
"Post: ""Polonium-210 is a chemical in #cigarette smoke....""",2017-07-16,6076392517439,509,2,,,282,280,2017-07-14,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-16,6076392486839,1114,3,,,20,17,2017-07-14,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-16,6076390358039,2556,1,,1,37,35,2017-07-14,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-15,6076360797439,893,,1,,63,62,2017-07-13,2017-04-19,2017-07-19,8
"Post: ""#Smoking damages DNA, which can cause cancer...""",2017-07-15,6076357492439,856,3,18,2,102,58,2017-07-13,2017-04-19,2017-07-19,8.28
"Post: ""160,000+ US cancer deaths every year are linked...""",2017-07-15,6076352444839,619,1,7,5,78,58,2017-07-13,2017-04-19,2017-07-19,8.28
"Post: ""Using #tobacco products can lead to addiction and...""",2017-07-15,6076341877639,596,,2,1,71,60,2017-07-13,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-15,6076341848439,2268,1,,,63,62,2017-07-13,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-15,6076337361439,768,4,,,18,14,2017-07-13,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-14,6076300646039,919,4,,1,76,71,2017-07-12,2017-04-19,2017-07-19,8
"Post: ""#Smoking can weaken your immune system, leaving...""",2017-07-14,6076296546639,930,3,6,2,83,54,2017-07-12,2017-04-19,2017-07-19,8.28
"Post: ""In the US, about 20% of all deaths are caused by...""",2017-07-14,6076291787239,1342,1,8,5,100,72,2017-07-12,2017-04-19,2017-07-19,8.28
"Post: ""Even if you don’t smoke, you could be breathing...""",2017-07-14,6076282913239,1092,2,9,4,89,53,2017-07-12,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-14,6076282828639,920,4,,,67,63,2017-07-12,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-14,6076280526239,1032,2,,,74,72,2017-07-12,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-13,6076249059639,933,7,,2,67,58,2017-07-11,2017-04-19,2017-07-19,8
"Post: ""Smokers die about 12% earlier than non-smokers....""",2017-07-13,6076244200039,974,,9,2,71,48,2017-07-11,2017-04-19,2017-07-19,8.28
"Post: ""#Tobacco use causes ~20% of all US deaths-more...""",2017-07-13,6076240268439,967,4,6,2,83,54,2017-07-11,2017-04-19,2017-07-19,8.28
"Post: ""Secondhand smoke causes 40000+ US deaths per...""",2017-07-13,6076230165839,932,,12,3,92,65,2017-07-11,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-13,6076230152239,2001,1,,,34,33,2017-07-11,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-13,6076227077639,1106,1,,1,97,95,2017-07-11,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-12,6076196091639,1688,5,,,73,68,2017-07-10,2017-04-19,2017-07-19,8
"Post: ""If nobody smoked, about 30% of cancer deaths in...""",2017-07-12,6076191774239,867,1,4,3,107,92,2017-07-10,2017-04-19,2017-07-19,8.28
"Post: ""Over 100 million non-smokers in this country are...""",2017-07-12,6076187023239,1049,,6,2,68,43,2017-07-10,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. If nobody...""",2017-07-12,6076176028239,1049,1,9,2,88,55,2017-07-10,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-12,6076176000639,1380,4,,,71,67,2017-07-10,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-12,6076173173439,1515,2,,,91,89,2017-07-10,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-11,6076144394239,1496,1,,,85,84,2017-07-09,2017-04-19,2017-07-19,8
"Post: ""About 40% of non-smokers in this country are...""",2017-07-11,6076141567239,1158,,4,4,90,55,2017-07-09,2017-04-19,2017-07-19,8.28
"Post: ""Even if someone doesn't smoke, they could be...""",2017-07-11,6076138302239,1345,1,9,7,105,51,2017-07-09,2017-04-19,2017-07-19,8.28
"Post: ""Secondhand smoke causes 40,000+ US deaths per...""",2017-07-11,6076129958039,1171,1,15,3,98,60,2017-07-09,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-11,6076129919039,1554,5,,,107,102,2017-07-09,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-11,6076128617239,1241,5,,,106,101,2017-07-09,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-10,6076110345639,2279,2,,,33,31,2017-07-08,2017-04-19,2017-07-19,8
"Post: ""Look out for the lil ones by keeping it...""",2017-07-10,6076108029239,1144,2,9,,85,62,2017-07-08,2017-04-19,2017-07-19,8.28
"Post: ""#Tobacco is a major preventable cause of death....""",2017-07-10,6076105333839,1378,1,14,6,127,81,2017-07-08,2017-04-19,2017-07-19,8.28
"Post: ""There is no safe level of exposure to secondhand...""",2017-07-10,6076098951839,1374,1,15,4,95,64,2017-07-08,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-10,6076098899039,1756,6,,,63,57,2017-07-08,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-10,6076097341639,1506,5,,,108,103,2017-07-08,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-09,6075676030839,1071,4,,,91,87,2017-07-07,2017-04-19,2017-07-19,8
"Post: ""#Smoking damages DNA, which can lead to cancer...""",2017-07-09,6075634383039,933,,4,3,81,67,2017-07-07,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. On...""",2017-07-09,6075621687639,980,3,6,3,70,43,2017-07-07,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-09,6075611338439,1570,4,,2,64,58,2017-07-07,2017-04-19,2017-07-19,8
"Post: ""#Smoking can destroy the tiny hairs that help...""",2017-07-09,6075611317439,1006,1,11,5,84,50,2017-07-07,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-09,6075607901639,1302,3,,,44,41,2017-07-07,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-08,6075573039639,1188,3,,,99,96,2017-07-06,2017-04-19,2017-07-19,8
"Post: ""Smoking #cigarettes can claim more than 10 years...""",2017-07-08,6075569409639,966,1,11,4,99,60,2017-07-06,2017-04-19,2017-07-19,8.28
"Post: ""If nobody smoked, about 30% of US cancer deaths...""",2017-07-08,6075562739439,1037,4,21,2,102,57,2017-07-06,2017-04-19,2017-07-19,8.28
"Post: ""If nobody smoked, about 160,000 cancer deaths in...""",2017-07-08,6075552854439,1449,3,11,17,196,53,2017-07-06,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-08,6075552734039,1202,1,,4,66,61,2017-07-06,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-08,6075550260639,1141,3,,7,19,9,2017-07-06,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-07,6075518191839,1228,6,,,70,64,2017-07-05,2017-04-19,2017-07-19,8
"Post: ""If nobody used tobacco, ~230,000 US cancer deaths...""",2017-07-07,6075515333039,1016,1,15,3,83,55,2017-07-05,2017-04-19,2017-07-19,8.28
"Post: ""If you smoke, you may be cuttin’ your time with...""",2017-07-07,6075511070239,699,1,12,5,87,56,2017-07-05,2017-04-19,2017-07-19,8.28
"Post: ""Hydrogen cyanide is found in #cigarette smoke....""",2017-07-07,6075501864239,2157,5,40,18,246,91,2017-07-05,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-07,6075501608239,2146,4,,,62,58,2017-07-05,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-07,6075498643439,1331,5,,,31,26,2017-07-05,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-06,6075467989439,3259,3,,,24,21,2017-07-04,2017-04-19,2017-07-19,8
"Post: ""About 30% of US cancer deaths are linked to...""",2017-07-06,6075465500439,808,,4,,60,47,2017-07-04,2017-04-19,2017-07-19,8.28
"Post: ""About 30% of cancer deaths in the US are linked...""",2017-07-06,6075461750239,897,,10,1,66,53,2017-07-04,2017-04-19,2017-07-19,8.28
"Post: ""Over 15 million 3-11 year-olds are exposed to...""",2017-07-06,6075452800439,1098,1,12,4,109,62,2017-07-04,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-06,6075452721439,480,9,,,108,99,2017-07-04,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-06,6075449865839,1548,7,,1,86,78,2017-07-04,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-05,6075413481639,1210,2,,,117,115,2017-07-03,2017-04-19,2017-07-19,8
"Post: ""Some say they smoke to reduce stress. Nope....""",2017-07-05,6075409975839,879,,7,3,90,64,2017-07-03,2017-04-19,2017-07-19,8.28
"Post: ""Using #tobacco products can lead to addiction and...""",2017-07-05,6075404136439,813,,6,3,85,63,2017-07-03,2017-04-19,2017-07-19,8.28
"Post: ""If you smoke, you may be cuttin’ your time with...""",2017-07-05,6075390359239,643,1,6,2,69,45,2017-07-03,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-05,6075390224239,1096,1,,,110,109,2017-07-03,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-05,6075386547039,1676,5,,,33,28,2017-07-03,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-04,6075353230639,2749,2,,1,62,59,2017-07-02,2017-04-19,2017-07-19,8
"Post: ""#Smoking damages your DNA, which can lead to...""",2017-07-04,6075351034039,843,,11,2,75,53,2017-07-02,2017-04-19,2017-07-19,8.28
"Post: ""You can never buy back time, so keep it...""",2017-07-04,6075348633039,843,,13,2,81,53,2017-07-02,2017-04-19,2017-07-19,8.28
"Post: ""There is no safe level of exposure to secondhand...""",2017-07-04,6075343046839,898,1,8,7,75,45,2017-07-02,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-04,6075342895439,1760,3,,,21,18,2017-07-02,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-04,6075341330239,1066,4,,,108,104,2017-07-02,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-03,6075322887639,1257,3,,1,90,86,2017-07-01,2017-04-19,2017-07-19,8
"Post: ""3 out of 4 teen smokers become adult smokers....""",2017-07-03,6075321097439,882,,8,7,79,54,2017-07-01,2017-04-19,2017-07-19,8.28
"Post: ""Nicotine can change the way our brains work,...""",2017-07-03,6075317559839,1374,2,8,8,246,119,2017-07-01,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. Every...""",2017-07-03,6075311170239,978,1,13,4,94,61,2017-07-01,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-03,6075310927639,765,3,,,23,20,2017-07-01,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-03,6075309304639,1147,2,,,81,79,2017-07-01,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-03,6075285880439,1094,6,,,96,90,2017-06-30,2017-04-19,2017-07-19,8
"Post: ""Teens underestimate how addictive #cigarettes...""",2017-07-02,6075282293839,661,,4,4,66,50,2017-06-30,2017-04-19,2017-07-19,8.28
"Post: ""There is no safe level of exposure to secondhand...""",2017-07-02,6075278370439,772,,7,4,81,54,2017-06-30,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking damages our DNA, which can lead to...""",2017-07-02,6075267595439,605,,11,,74,52,2017-06-30,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-02,6075267480439,793,4,,,92,88,2017-06-30,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-02,6075263597439,1164,3,,,87,84,2017-06-30,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-01,6075234388839,846,4,,,53,49,2017-06-29,2017-04-19,2017-07-19,8
"Post: ""Formaldehyde is used to embalm dead bodies. It is...""",2017-07-01,6075230787039,971,1,17,7,96,49,2017-06-29,2017-04-19,2017-07-19,8.28
"Post: ""Every day in the US 700+ youth become daily...""",2017-07-01,6075225936039,1073,3,4,4,97,60,2017-06-29,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can damage your wallet. Smoking half a...""",2017-07-01,6075216554839,289,,6,1,41,32,2017-06-29,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-07-01,6075216492639,622,3,,,47,44,2017-06-29,2017-04-19,2017-07-19,8
"Instagram Post",2017-07-01,6075214010839,399,5,,,34,29,2017-06-29,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-30,6075186581439,589,3,,,56,53,2017-06-28,2017-04-19,2017-07-19,8
"Post: ""How does #smoking take a decade of life away?...""",2017-06-30,6075181799839,497,2,5,6,68,44,2017-06-28,2017-04-19,2017-07-19,8.28
"Post: ""Forget death, chase life. 480,000 US deaths are...""",2017-06-30,6075177942839,603,,5,1,50,37,2017-06-28,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can weaken our immune systems, leaving...""",2017-06-30,6075169014439,640,3,10,4,74,46,2017-06-28,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-30,6075169008039,482,2,,1,50,47,2017-06-28,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-30,6075166302239,586,5,,,61,56,2017-06-28,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-29,6075135792039,715,5,,1,50,44,2017-06-27,2017-04-19,2017-07-19,8
"Post: ""#Tobacco is a major preventable cause of death....""",2017-06-29,6075128828239,582,,6,5,56,34,2017-06-27,2017-04-19,2017-07-19,8.28
"Post: ""Smokers die about 10 years younger than...""",2017-06-29,6075124407239,798,6,19,7,89,43,2017-06-27,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can damage our wallets. Smoking half a...""",2017-06-29,6075109486639,837,3,16,2,88,42,2017-06-27,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-29,6075109403439,714,4,,1,24,19,2017-06-27,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-29,6075106871439,536,1,,,51,50,2017-06-27,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-28,6075071552839,405,4,,,28,24,2017-06-26,2017-04-19,2017-07-19,8
"Post: ""Protect your loved ones by living #tobaccofree....""",2017-06-28,6075068077239,853,,6,,62,48,2017-06-26,2017-04-19,2017-07-19,8.28
"Post: ""Smoking can cause cancer almost anywhere in the...""",2017-06-28,6075063958439,687,2,14,3,81,48,2017-06-26,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. If nobody...""",2017-06-28,6075054176839,980,2,17,6,93,40,2017-06-26,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-28,6075054124839,286,6,,,65,59,2017-06-26,2017-04-19,2017-07-19,7.99
"Instagram Post",2017-06-28,6075050442039,377,8,,,73,65,2017-06-26,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-27,6075023772039,1215,2,,,41,39,2017-06-25,2017-04-19,2017-07-19,8
"Post: ""#Smoking can weaken our immune systems, leaving...""",2017-06-27,6075021824839,976,2,12,5,119,60,2017-06-25,2017-04-19,2017-07-19,8.28
"Post: ""There is no safe level of exposure to secondhand...""",2017-06-27,6075019149039,686,,8,2,60,43,2017-06-25,2017-04-19,2017-07-19,8.28
"Post: ""You can never buy back time, so keep it...""",2017-06-27,6075015171639,704,,9,,59,41,2017-06-25,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-27,6075014421039,795,5,,,73,68,2017-06-25,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-27,6075013725239,1419,3,,,34,31,2017-06-25,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-26,6074995987239,832,4,,,106,102,2017-06-24,2017-04-19,2017-07-19,8
"Post: ""#Smoking damages our DNA, which can lead to...""",2017-06-26,6074994324439,553,,4,4,51,43,2017-06-24,2017-04-19,2017-07-19,8.28
"Post: ""About 30% of cancer deaths in the US are linked...""",2017-06-26,6074991672439,1082,1,11,3,87,53,2017-06-24,2017-04-19,2017-07-19,8.28
"Post: ""#Tobacco is a major preventable cause of death....""",2017-06-26,6074985163839,1041,4,10,6,109,56,2017-06-24,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-26,6074985069239,1856,3,,,57,54,2017-06-24,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-26,6074983568639,648,1,,,92,91,2017-06-24,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-25,6074964498839,1656,4,,,53,49,2017-06-23,2017-04-19,2017-07-19,8
"Post: ""Formaldehyde is a cancer-causer in #cigarette...""",2017-06-25,6074961392239,1129,1,18,10,144,42,2017-06-23,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking damages DNA, which can cause cancer...""",2017-06-25,6074958047239,626,1,6,5,85,56,2017-06-23,2017-04-19,2017-07-19,8.28
"Post: ""Using #tobacco products can lead to addiction and...""",2017-06-25,6074950149639,619,2,6,4,54,39,2017-06-23,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-25,6074950108439,1123,1,1,,78,76,2017-06-23,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-25,6074947681439,541,3,,,90,87,2017-06-23,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-24,6074917141439,1534,2,,,26,24,2017-06-22,2017-04-19,2017-07-19,8
"Post: ""160,000+ US cancer deaths every year are linked...""",2017-06-24,6074914515239,499,1,12,1,48,30,2017-06-22,2017-04-19,2017-07-19,8.28
"Post: ""480,000 US deaths are caused by a...""",2017-06-24,6074910306639,495,1,3,4,37,24,2017-06-22,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can damage our wallets. Smoking half a...""",2017-06-24,6074899426839,684,1,7,9,76,34,2017-06-22,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-24,6074899330439,2045,1,,,22,21,2017-06-22,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-24,6074896291439,754,2,,,72,70,2017-06-22,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-23,6074865310039,1421,1,1,1,35,32,2017-06-21,2017-04-19,2017-07-19,8
"Post: ""#Tobacco is a major preventable cause of death....""",2017-06-23,6074861182439,625,2,11,3,78,48,2017-06-21,2017-04-19,2017-07-19,8.28
"Post: ""Polonium-210 is a chemical in #cigarette smoke....""",2017-06-23,6074857285439,745,1,4,,49,40,2017-06-21,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can weaken the immune system, leaving a...""",2017-06-23,6074846634439,1077,2,24,8,134,55,2017-06-21,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-23,6074846604639,962,5,,,53,48,2017-06-21,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-23,6074843919439,825,4,,,18,14,2017-06-21,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-22,6074812733039,674,3,,,77,74,2017-06-20,2017-04-19,2017-07-19,8
"Post: ""When someone dies from #tobacco use, we lose them...""",2017-06-22,6074808676639,802,1,13,2,77,38,2017-06-20,2017-04-19,2017-07-19,8.28
"Post: ""In the US, 480,000 deaths are caused by a...""",2017-06-22,6074803477639,748,,9,2,75,49,2017-06-20,2017-04-19,2017-07-19,8.28
"Post: ""#Tobacco use causes 1300 US deaths daily-more...""",2017-06-22,6074794403639,438,5,,,302,297,2017-06-20,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-22,6074794277839,1669,4,,1,19,14,2017-06-20,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-22,6074791747639,1215,4,,,83,79,2017-06-20,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-21,6074759673839,643,4,,,79,75,2017-06-19,2017-04-19,2017-07-19,8
"Post: ""There is no safe level of exposure to secondhand...""",2017-06-21,6074755135239,520,,7,5,66,39,2017-06-19,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can destroy the tiny hairs that help...""",2017-06-21,6074749698839,648,,15,2,84,52,2017-06-19,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. If nobody...""",2017-06-21,6074741107839,926,1,8,3,82,58,2017-06-19,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-21,6074740956039,1666,2,,1,23,20,2017-06-19,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-21,6074738311039,724,,,,74,74,2017-06-19,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-20,6074707875239,1030,5,,,85,80,2017-06-18,2017-04-19,2017-07-19,8
"Post: ""Over 100 million non-smokers in this country are...""",2017-06-20,6074705828639,1157,2,8,11,117,38,2017-06-18,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can shorten your life by 10 years. If...""",2017-06-20,6074703411439,518,1,4,2,62,42,2017-06-18,2017-04-19,2017-07-19,8.28
"Post: ""How does #smoking take a decade of life away?...""",2017-06-20,6074698838639,1014,3,14,3,85,50,2017-06-18,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-06-20,6074698701039,691,3,,,62,59,2017-06-18,2017-04-19,2017-07-19,8
"Instagram Post",2017-06-20,6074697466439,2930,1,,,27,26,2017-06-18,2017-04-19,2017-07-19,8
