content,platorm,hashtags,tags,website_url,website_name,theme,fda_campaign,stem_id,lin_meth_factor,lin_meth_level
"#Smoking damages your DNA, which can lead to cancer almost anywhere in your body.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,1,1
"#Smoking damages our DNA, which can lead to cancer almost anywhere in our bodies.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,1,2
"#Smoking damages DNA, which can lead to cancer almost anywhere in the body. ","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,1,3
"Even if you don?t smoke, you could be breathing in the deadly mix by being around smokers. #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE54,1,1
"Even if we don?t smoke, we could be breathing in the deadly mix by being around smokers. #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE54,1,2
"Even if someone doesn't smoke, they could be breathing in the deadly mix by being around smokers. #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE54,1,3
There is no safe level of exposure to secondhand smoke. Even a short time can fade your health. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,1,1
There is no safe level of exposure to secondhand smoke. Even a short time can fade our health. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,1,2
There is no safe level of exposure to secondhand smoke. Even a short time can fade people's health. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,1,3
"Using #tobacco products can lead to addition and expose you to toxic, cancer-causing chemicals.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE56,1,1
"Using #tobacco products can lead to addition and expose us to toxic, cancer-causing chemicals.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE56,1,2
"Using #tobacco products can lead to addition and expose people to toxic, cancer-causing chemicals.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE56,1,3
Some say they smoke to reduce stress. Nope. #Smoking can make your feelings of stress even worse.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],UNCLEAR,FE,FE60,1,1
Some say they smoke to reduce stress. Nope. #Smoking can make our feelings of stress even worse.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],UNCLEAR,FE,FE60,1,2
Some say they smoke to reduce stress. Nope. #Smoking can make feelings of stress even worse.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],UNCLEAR,FE,FE60,1,3
"Nicotine can change the way your brain works, causing you to crave more and more nicotine #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,TFL,TFL14,1,1
"Nicotine can change the way our brains work, causing us to crave more and more nicotine #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,TFL,TFL14,1,2
"Nicotine can change the way a person's brain works, causing them to crave more and more nicotine #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,TFL,TFL14,1,3
#Smoking can damage your wallet. Smoking half a pack/day costs $1000 per year on average,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,1,1
#Smoking can damage our wallets. Smoking half a pack/day costs $1000 per year on average.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,1,2
#Smoking can damage everyone's wallets. Smoking half a pack/day costs $1000 per year on average.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,1,3
"#Smoking can weaken your immune system, leaving you more vulnerable to bronchitis & pneumonia.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL38,1,1
"#Smoking can weaken our immune systems, leaving us more vulnerable to bronchitis & pneumonia","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL38,1,2
"#Smoking can weaken the immune system, leaving a person more vulnerable to bronchitis & pneumonia","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL38,1,3
"#Smoking damages your DNA, which can cause cancer almost anywhere, not just your lungs","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL39,1,1
"#Smoking damages our DNA, which can cause cancer almost anywhere, not just our lungs.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL39,1,2
"#Smoking damages DNA, which can cause cancer almost anywhere, not just the lungs.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL39,1,3
"#Smoking can destroy the tiny hairs that help keep your lungs clear, giving you smoker?s cough","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL40,1,1
"#Smoking can destroy the tiny hairs that help keep our lungs clear, giving us smoker?s cough","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL40,1,2
"#Smoking can destroy the tiny hairs that help keep the lungs clear, giving a person smoker?s cough","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL40,1,3
Smoking #cigarettes can claim more than 10 years of your life. Don?t let cigs cut your life short,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE6,2,4
Don?t let cigs cut your life short. Smoking #cigarettes can claim more than 10 years of your life,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE6,2,5
3 out of 4 teen smokers become adult smokers. Teens underestimate how addictive #cigarettes are. ,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,FE,FE44,2,4
Teens underestimate how addictive #cigarettes are. 3 out of 4 teen smokers become adult smokers.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,FE,FE44,2,5
Every day in the US 700+ youth become daily smokers. Nicotine is highly addictive. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,FE,FE44_b,2,4
Nicotine is highly addictive. Every day in the US 700+ youth become daily smokers. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,FE,FE44_b,2,5
Over 16 million Americans have a disease caused by #smoking. Smoking can cause long-term damage.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE52,2,4
#Smoking can cause long-term damage. Over 16 million Americans have a disease caused by smoking.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE52,2,5
Secondhand smoke causes 40000+ US deaths per year. There is no safe level of exposure. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,2,4
There is no safe level of exposure to secondhand smoke. It causes 40000+ US deaths per year. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,2,5
"On average, every cig reduces your life by 11 minutes. Even occasional #smoking can hurt you.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,2,4
"Even occasional #smoking can hurt you. On average, every cig reduces your life by 11 minutes. ","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,2,5
#Smoking half a pack per day costs about $1000/year. Smoking can do serious damage to your wallet.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,2,4
#Smoking can do serious damage to your wallet. Smoking half a pack per day costs about $1000/year.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,2,5
Formaldehyde is used to embalm dead bodies. It is also a cancer-causing agent in #cigarette smoke.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL26,2,4
Formaldehyde is a cancer-causing agent in #cigarette smoke. It is also used to embalm dead bodies.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL26,2,5
Polonium-210 is a chemical found in nuclear reactors. It?s also found in #cigarette smoke.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL30,2,4
Polonium-210 is a chemical found in #cigarette smoke. It's also found in nuclear reactors. ,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL30,2,5
Hydrogen cyanide is in rat poison and chemical weapons. It?s also been found in #cigarette smoke.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL31,2,4
Hydrogen cyanide has been found in #cigarette smoke. It's also in rat poison and chemical weapons.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL31,2,5
"If nobody smoked, about 30% of cancer deaths in the US could be prevented #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL35,3,7
"If nobody smoked, about 160,000 cancer deaths in the US could be prevented #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL35,3,6
"You can never buy back time, so keep it #tobaccofree. #Smoking can shorten your life by more than 12%","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE39,3,7
"You can never buy back time, so keep it #tobaccofree. #Smoking can shorten your life by 10 years.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE39,3,6
"In the U.S., 20% of all deaths are caused by a #smoking-related disease every year.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE48,3,7
"In the U.S., 480,000 deaths are caused by a #smoking-related disease every year.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE48,3,6
"#Tobacco use causes 20% of all US deaths-more than AIDS, alcohol, car accidents, homicides & illegal drugs combined","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE51,3,7
"#Tobacco use causes 1300 US deaths daily-more than AIDS, alcohol, car accidents, homicides & illegal drugs combined","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE51,3,6
About 30% of cancer deaths˜in the US˜are linked to #smoking.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,3,7
"Over 160,000 cancer deaths˜in the US˜every year are linked to #smoking.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,3,6
About 40% of non-smokers in this country are exposed to toxic secondhand smoke #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,3,7
Over 100 million non-smokers in this country are exposed to toxic secondhand smoke #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,3,6
About 50% of 3-11 year-olds are exposed to secondhand smoke. There is no safe level of exposure #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55_b,3,7
Over 15 million 3-11 year-olds are exposed to secondhand smoke. There is no safe level of exposure #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55_b,3,6
"Secondhand smoke causes 40000+ US deaths per year, and 75% are from coronary heart disease #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55_c,3,7
"Secondhand smoke causes 40000+ US deaths per year, including 30000+ coronary heart disease deaths #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55_c,3,6
How does #smoking take a decade of life away? Smokers die about 12% earlier than non-smokers #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL7,3,7
How does #smoking take a decade of life away? Smokers die about 10 years younger than non-smokers #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL7,3,6
Even occasional #smoking can hurt you. Every #cigarette you smoke reduces your life by almost 20% of an hour #cig,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,3,7
Even occasional #smoking can hurt you. Every #cigarette you smoke reduces your life by 11 minutes #cig,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,3,6
"If you smoke, you may be cuttin? your time with the fam short.  #Smoking can shorten your life by over 12%","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE39,4,9
"#Smoking can shorten your life by over 12% . If you smoke, you may be cuttin? your time with the fam short. ","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE39,4,11
"If you smoke, you may be cuttin? your time with the fam short.  #Smoking can shorten your life by 10 years.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE39,4,8
"#Smoking can shorten your life by 10 years. If you smoke, you may be cuttin? your time with the fam short. ","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE39,4,10
"Forget death, chase life. 20% of all US deaths are caused by a #smoking-related disease.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE48,4,9
"20% of all US deaths are caused by a #smoking-related disease. Forget death, chase life.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE48,4,11
"Forget death, chase life.  480000 US deaths are caused by a #smoking-related disease every year.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE48,4,8
"480000 US deaths are caused by a #smoking-related disease every year. Forget death, chase life.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE48,4,10
Smoking can cause cancer almost anywhere in the body. About 30% of US cancer deaths˜are linked to #smoking.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,4,9
About 30% of US cancer deaths˜are linked to #smoking. Smoking can cause cancer almost anywhere in the body. ,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,4,11
Smoking can cause cancer almost anywhere in the body. 160000+ US cancer deaths˜every year are linked to #smoking.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,4,8
160000+ US cancer deaths˜every year are linked to #smoking. Smoking can cause cancer almost anywhere in the body. ,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,4,10
Protect your loves ones by living #tobaccofree. About 40% of US non-smokers are exposed to toxic secondhand smoke,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55,4,9
About 40% of US non-smokers are exposed to toxic secondhand smoke. Protect your loves ones by living #tobaccofree. ,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55,4,11
Protect your loves ones by living #tobaccofree.  100 million+ US non-smokers are exposed to toxic secondhand smoke,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55,4,8
100 million+ US non-smokers are exposed to toxic secondhand smoke. Protect your loves ones by living #tobaccofree. ,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55,4,10
Look out for the lil ones by keeping it #tobaccofree. About 50% of 3-11 year-olds are exposed to secondhand smoke.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55_b,4,9
About 50% of 3-11 year-olds are exposed to secondhand smoke. Look out for the lil ones by keeping it #tobaccofree.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55_b,4,11
Look out for the lil ones by keeping it #tobaccofree. Over 15 million 3-11 year-olds are exposed to secondhand smoke.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55_b,4,8
Over 15 million 3-11 year-olds are exposed to secondhand smoke. Look out for the lil ones by keeping it #tobaccofree.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + family,FE,FE55_b,4,10
"#Tobacco is a major preventable cause of death. If nobody smoked, about 30% of US cancer deaths could be prevented. ","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL35,4,9
"If nobody smoked, about 30% of US cancer deaths could be prevented. #Tobacco is a major preventable cause of death","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL35,4,11
"#Tobacco is a major preventable cause of death. If nobody smoked, about 160,000 US cancer deaths could be prevented","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL35,4,8
"If nobody smoked, about 160,000 US cancer deaths could be prevented. #Tobacco is a major preventable cause of death.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL35,4,10
"When someone dies from #tobacco use, we lose them too soon. Smokers die about 12% earlier than non-smokers","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + community,TFL,TFL7,4,9
"Smokers die about 12% earlier than non-smokers. When someone dies from #tobacco use, we lose them too soon. ","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + community,TFL,TFL7,4,11
"When someone dies from #tobacco use, we lose them too soon. Smokers die about 10 years younger than non-smokers","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + community,TFL,TFL7,4,8
"Smokers die about 10 years younger than non-smokers. When someone dies from #tobacco use, we lose them too soon.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health + community,TFL,TFL7,4,10
Even occasional #smoking can hurt you. Every #cigarette you smoke reduces your life by almost 20% of an hour,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,4,9
Every #cigarette you smoke reduces your life by almost 20% of an hour. Even occasional #smoking can hurt you. ,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,4,11
Even occasional #smoking can hurt you. Every #cigarette you smoke reduces your life by 11 minutes.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,4,8
Every #cigarette you smoke reduces your life by 11 minutes. Even occasional #smoking can hurt you.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL8,4,10
